Patroling Sections:
[55.704741, -385.186179,0] -> [455.704741, 14.813821,0] -> 
[55.704741, -485.186179,0] -> [555.704741, 14.813821,0] -> 
[55.704741, -585.186179,0] -> [655.704741, 14.813821,0] -> 
[55.704741, -685.186179,0] -> [755.704741, 14.813821,0] -> 
[55.704741, -785.186179,0] -> [855.704741, 14.813821,0] -> 
[55.704741, -885.186179,0] -> [955.704741, 14.813821,0] -> 
[55.704741, -985.186179,0] -> [1055.704741, 14.813821,0] -> 
[1055.704741, 14.813821,0] -> [55.704741, -985.186179,0] -> 
[955.704741, 14.813821,0] -> [55.704741, -885.186179,0] -> 
[855.704741, 14.813821,0] -> [55.704741, -785.186179,0] -> 
[755.704741, 14.813821,0] -> [55.704741, -685.186179,0] -> 
[655.704741, 14.813821,0] -> [55.704741, -585.186179,0] -> 
[555.704741, 14.813821,0] -> [55.704741, -485.186179,0] -> 
[455.704741, 14.813821,0] -> [55.704741, -385.186179,0] -> 
 End 

0: 455.704741, 14.813821, 0 {225, 0} -> 55.704741, -385.186179, 0
88: 409.504904502449, -35.716155738539, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
89: 400.703384024899, -46.897664459783, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
90: 391.901863547349, -58.079173181028, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
91: 383.100343069800, -69.260681902273, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
92: 374.298822592250, -80.442190623518, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
93: 365.497302114700, -91.623699344763, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
94: 356.695781637151, -102.805208066007, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
95: 347.894261159601, -113.986716787252, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
96: 339.092740682051, -125.168225508497, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
97: 330.291220204501, -136.349734229742, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
98: 321.489699726952, -147.531242950986, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
99: 312.688179249402, -158.712751672231, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
100: 303.886658771852, -169.894260393476, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
101: 295.085138294303, -181.075769114721, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
102: 286.283617816753, -192.257277835966, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
103: 277.482097339203, -203.438786557210, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
104: 268.680576861654, -214.620295278455, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
105: 259.879056384104, -225.801803999700, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
106: 251.077535906554, -236.983312720945, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
107: 242.276015429004, -248.164821442190, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
108: 233.474494951455, -259.346330163434, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
109: 224.672974473905, -270.527838884679, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
110: 215.871453996355, -281.709347605924, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
111: 207.069933518806, -292.890856327169, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
112: 198.268413041256, -304.072365048414, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
113: 189.466892563706, -315.253873769658, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
114: 180.665372086157, -326.435382490903, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
115: 171.863851608607, -337.616891212148, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
116: 163.062331131057, -348.798399933393, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
117: 154.260810653508, -359.979908654638, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
118: 145.459290175958, -371.161417375883, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
119: 136.657769698408, -382.342926097127, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
120: 127.856249220859, -393.524434818372, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
121: 119.054728743309, -404.705943539617, 0.000000000000 {231.791960585853, 231.791960585853} -> 55.704740999999, -485.186179000000, 0.000000000000
